Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 26] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 46] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 40] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 37] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 36] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 27] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 25] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 36] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 41] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 45] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 39] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 46] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 49] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 43] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 24] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 24] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 28] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 35] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 30] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 41] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 44] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 29] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 47] [device=0]
