Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
  0.0        12911        12911       42282           0        305 Kokkos::parallel_for Kokkos::View::initialization [recv buf 21] [device=0]
  0.0        12909        12909       42282           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 21] [device=0]
  0.0        12908        12908       42282           0        305 Kokkos::parallel_for Kokkos::View::initialization [recv buf 22] [device=0]
  0.0        12904        12904       42282           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 23] [device=0]
  0.0        12903        12903       42282           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 20] [device=0]
  0.0        12895        12895       42282           0        305 Kokkos::parallel_for Kokkos::View::initialization [recv buf 23] [device=0]
  0.0        12364        12364       40163           0        308 Kokkos::parallel_for Kokkos::View::initialization [advected] [device=0]
  0.0        10734        11695          32          96     365467 MPI_Finalize() 
  0.0         2159        10122         256        9000      39538 Step 6: Alloc, pack, and send buffers
  0.0         9477         9477      139511           0         68 Kokkos::parallel_for Kokkos::View::destruction [MakePack::cv] [device=0]
  0.0         8081         8081       26344           0        307 Kokkos::parallel_for ReceiveFluxCorrection_x1 [device=33554432]
  0.0         6787         6787 2.50002E+06           0          3 MPI_Iprobe() [THROTTLED]
  0.0         6514         6514       21141           0        308 Kokkos::parallel_for Kokkos::View::initialization [send buf 35] [device=0]
  0.0         6510         6510       21141           0        308 Kokkos::parallel_for Kokkos::View::initialization [send buf 41] [device=0]
  0.0         6503         6503        3000           0       2168 MPI_Isend() 
  0.0         6496         6496       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 46] [device=0]
  0.0         6495         6495       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX3] [device=0]
  0.0         6492         6492       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 36] [device=0]
  0.0         6490         6490       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 40] [device=0]
