Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
100.0        36003      1392397           1     96768.2 1392397046 .TAU application
 80.4         38.4      1120099           1     3989.47 1120098694 Driver_Main
 77.4         3959      1077585           9      285261  119731719 Mesh::Initialize
 74.5        0.495      1037972          12          20   86497655 LoadBalancingAndAdaptiveMeshRefinement
 73.7         50.4      1025764           8     4612.72  128220465 RedistributeAndRefineMeshBlocks
 37.2       518030       518030      147686           0       3508 MPI_Start() 
 36.1       503262       503262      110547           0       4552 MPI_Wait() 
 35.0        50206       487947     11189.8      364519      43606 Task_SendBoundaryBuffers_MeshBlockData
 33.8         2675       471048     5569.97      178606      84569 Task_ReceiveAndSetBoundariesWithWait
 11.5         5637       160644          10      195747   16064402 MultiStage_Step
 10.0          588       138977     11189.8     73843.2      12420 Task_StartReceiving
  4.3        60429        60429      285070           0        212 Kokkos::parallel_for UnpackData 4D [device=33554432]
  4.1        56981        56981      285070           0        200 Kokkos::parallel_for PackData 4D [device=33554432]
  3.4         2616        46856     5619.84      142980       8338 Task_SetBoundaries_MeshBlockData
  3.2         38.6        43872           8     198.969    5484024 Step 8: Recv data and unpack
  2.6        35842        35842          21           0    1706772 MPI_Allreduce() 
  1.9          562        27073     11189.8     73843.2       2419 Task_ClearBoundary
  1.4        19266        19266       6.125           0    3145534 MPI_Waitall() 
  1.1         9055        15565           8     28367.9    1945626 Step 7: Construct new MeshBlockList
  0.9         1.17        12208          12          32    1017304 UpdateMeshBlockTree
  0.9        12205        12205          24           0     508523 MPI_Allgather() 
  0.9          415        11874     11199.8     33599.4       1060 Task_FillDerived
  0.4          372         5356     5619.84     16859.5        953 Task_Advection_CalculateFluxes
  0.4          420         5319     11189.8     33569.4        475 Task_ProlongateBoundaries
  0.3         4386         4386     27072.1           0        162 Kokkos::parallel_for RestrictCellCenteredValues3d [device=33554432]
  0.3         1314         3931     11199.8     13171.8        351 FillDerived
  0.3         1336         3923     11199.8     13171.8        350 PostFillDerived
  0.3          489         3712     11189.8     21317.8        332 RestrictBoundaries
  0.3         1303         3605     11199.8     13171.8        322 PreFillDerived
  0.2         1886         2460     90258.1      176438         27 Task_ReceiveBoundaryBuffers_MeshBlockData
  0.2          295         2442     10118.6     10118.6        241 Task_EstimateTimestep
  0.2         2183         2183     6691.09           0        326 Kokkos::parallel_reduce advection check refinement [device=0]
  0.2         2179         2179     11189.8           0        195 Kokkos::parallel_for advection_package::SquareIt [device=33554432]
  0.2         2148         2148     11189.8           0        192 Kokkos::parallel_for advection_package::PostFill [device=33554432]
  0.2         2146         2146     10118.6           0        212 Kokkos::parallel_reduce advection_package::EstimateTimestep [device=0]
  0.1          168         2065     5619.84     5619.84        367 Task_Tag_Block
  0.1         1886         1886     5619.84           0        336 Kokkos::parallel_for x3 flux [device=33554432]
  0.1         1885         1885     5619.84           0        335 Kokkos::parallel_for x2 flux [device=33554432]
  0.1         1862         1862     11189.8           0        166 Kokkos::parallel_for advection_package::PreFill [device=33554432]
  0.1         1169         1802          20     4223.06      90091 Task_WeightedSumData
  0.1         1213         1213     5619.84           0        216 Kokkos::parallel_for x1 flux [device=33554432]
  0.1          214         1087     11189.8     5754.38         97 ProlongateBoundaries
  0.1          920          920           1           2     920381 MPI_Init_thread() 
  0.1          883          883     5814.62           0        152 Kokkos::parallel_for ProlongateCellCenteredValues3d [device=33554432]
  0.1          843          843     4359.72           0        193 Kokkos::parallel_for Kokkos::View::initialization [MakePack::sparse_assoc] [device=0]
  0.1          840          840     4359.72           0        193 Kokkos::parallel_for Kokkos::View::initialization [MakePack::vector_component] [device=0]
  0.1          835          835     4359.72           0        192 Kokkos::parallel_for Kokkos::View::initialization [MakePack::cv] [device=0]
  0.1          408          771     5619.84     1133.28        137 Task_SendFluxCorrection
  0.1          415          761     29290.6     8581.31         26 Task_ReceiveFluxCorrection
  0.0          405          405     1321.31           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 12] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 18] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 7] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 15] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 15] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 16] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 11] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 19] [device=0]
  0.0          405          405     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 18] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 9] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 10] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 3] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 6] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 2] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 1] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 11] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 4] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 6] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 13] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 0] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 16] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 1] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 4] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 14] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 5] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 0] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 8] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 12] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 13] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 7] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 9] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 17] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 5] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 8] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 3] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 10] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 22] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 19] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 20] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 2] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 14] [device=0]
  0.0          404          404     1321.31           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 17] [device=0]
  0.0          403          403     1321.31           0        305 Kokkos::parallel_for Kokkos::View::initialization [recv buf 21] [device=0]
  0.0          403          403     1321.31           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 21] [device=0]
  0.0          403          403     1321.31           0        305 Kokkos::parallel_for Kokkos::View::initialization [recv buf 22] [device=0]
  0.0          403          403     1321.31           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 23] [device=0]
  0.0          403          403     1321.31           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 20] [device=0]
  0.0          403          403     1321.31           0        305 Kokkos::parallel_for Kokkos::View::initialization [recv buf 23] [device=0]
  0.0          386          386     1255.09           0        308 Kokkos::parallel_for Kokkos::View::initialization [advected] [device=0]
  0.0          335          365           1           3     365467 MPI_Finalize() 
  0.0         67.5          316           8      281.25      39538 Step 6: Alloc, pack, and send buffers
  0.0          296          296     4359.72           0         68 Kokkos::parallel_for Kokkos::View::destruction [MakePack::cv] [device=0]
  0.0          253          253      823.25           0        307 Kokkos::parallel_for ReceiveFluxCorrection_x1 [device=33554432]
  0.0          212          212     78125.8           0          3 MPI_Iprobe() [THROTTLED]
  0.0          204          204     660.656           0        308 Kokkos::parallel_for Kokkos::View::initialization [send buf 35] [device=0]
  0.0          203          203     660.656           0        308 Kokkos::parallel_for Kokkos::View::initialization [send buf 41] [device=0]
  0.0          203          203       93.75           0       2168 MPI_Isend() 
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 46] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX3] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 36] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 40] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 28] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 54] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 43] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 55] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 38] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 47] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 26] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 33] [device=0]
  0.0          203          203     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 25] [device=0]
  0.0          202          202     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 42] [device=0]
  0.0          202          202     660.656           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 47] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 39] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 53] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 43] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 55] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 24] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 39] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 50] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 38] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 25] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 45] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 32] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 24] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 44] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 46] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 30] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 48] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 41] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 37] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 28] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 40] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 34] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 44] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 33] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 27] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 42] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 53] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 31] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 32] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 45] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 34] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 51] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 49] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 35] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 48] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 27] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 26] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 36] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 50] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 49] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX1] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 37] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX2] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 52] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 29] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 31] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 51] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 54] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 52] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 30] [device=0]
  0.0          202          202     660.656           0        306 Kokkos::parallel_for Kokkos::View::initialization [advected.coarse] [device=0]
  0.0          202          202     660.656           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 29] [device=0]
  0.0          202          202     660.656           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_sqrt_one_minus_advected_sq_37] [device=0]
  0.0          201          201     660.656           0        305 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:183] [device=0]
  0.0          201          201     660.656           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_advected_sq] [device=0]
  0.0          201          201     660.656           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_sqrt_one_minus_advected_sq_12] [device=0]
  0.0          201          201     660.656           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_advected] [device=0]
  0.0          201          201     22379.6           0          9 Task_ApplyBoundaryConditionsOnCoarseOrFine
  0.0          201          201     660.656           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:181] [device=0]
  0.0          201          201     660.656           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:179] [device=0]
  0.0          201          201     660.656           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:182] [device=0]
  0.0          201          201     660.656           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/bvals/bvals_base.cpp:117] [device=0]
  0.0          201          201     660.656           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/bvals/bvals_base.cpp:116] [device=0]
  0.0          201          201     660.656           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:184] [device=0]
  0.0          201          201     660.656           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:178] [device=0]
  0.0          200          200     1188.88           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::cv] [device=0]
  0.0          200          200     1188.88           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f3] [device=0]
  0.0          200          200     1188.88           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f1] [device=0]
  0.0          200          200     78125.8           0          3 MPI_Test() [THROTTLED]
  0.0          199          199     1188.88           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f2] [device=0]
  0.0          199          199     1188.88           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::vector_component] [device=0]
  0.0          199          199     1188.88           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::sparse_assoc] [device=0]
  0.0          197          197     5010.72           0         39 SearchAndSetNeighbors
  0.0          184          184      568.25           0        324 Kokkos::parallel_for SendFluxCorrection3D_x3 [device=33554432]
  0.0          147          147      100001           0          1 MPI_Request_free() [THROTTLED]
  0.0          119          119     73319.9           0          2 MPI_Send_init() 
  0.0         94.2         94.2     13844.7           0          7 MPI_Test() 
  0.0         84.4         84.4     13844.7           0          6 MPI_Iprobe() 
  0.0         81.3         81.3         255           0        319 Kokkos::parallel_for SendFluxCorrection3D_x2 [device=33554432]
  0.0         78.0         78.0         255           0        306 Kokkos::parallel_for ReceiveFluxCorrection_x2 [device=33554432]
  0.0         76.8         76.8         255           0        301 Kokkos::parallel_for SendFluxCorrection3D_x1 [device=33554432]
  0.0         46.4         73.7           8       187.5       9210 Step 5: Alloc buffer and start recv
  0.0         68.7         68.7     73319.9           0          1 MPI_Recv_init() 
  0.0         62.5         62.5     1188.88           0         53 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f2] [device=0]
  0.0         61.5         61.5     1188.88           0         52 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f1] [device=0]
  0.0         58.2         58.2     1188.88           0         49 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f3] [device=0]
  0.0         55.8         55.8     1188.88           0         47 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::cv] [device=0]
  0.0         30.0         30.0           2           0      15013 pthread_join
  0.0         27.9         27.9           1           0      27945 MPI_File_open()
  0.0         22.4         22.4           2           0      11175 MPI_Bcast() 
  0.0         19.6         19.6          20           0        980 Kokkos::parallel_for WeightedSumData [device=33554432]
  0.0         12.1         12.1          10           0       1206 Kokkos::parallel_for FluxDivergenceMesh [device=33554432]
  0.0         7.92         7.92     54.9062           0        144 Kokkos::parallel_for FillSameRankCoarseToFineAMR [device=33554432]
  0.0         6.93         6.93          21           0        330 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::coords] [device=0]
  0.0         6.83         6.83          21           0        325 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::packs] [device=0]
  0.0         4.93         4.93          21           0        235 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::coords] [device=0]
  0.0         4.60         4.60          21           0        219 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::packs] [device=0]
  0.0         3.86         3.86           8           0        482 Step1: Construct new list
  0.0         3.50         3.50          21           0        167 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::packs_mirror] [device=0]
  0.0         1.91         1.91           8           0        238 MPI_Allgatherv() 
  0.0         1.74         1.74     5.84375           0        297 Kokkos::parallel_for Kokkos::View::initialization [recvbuf1] [device=0]
  0.0         1.72         1.72     6.09375           0        283 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same0] [device=0]
  0.0         1.62         1.62     5.21875           0        311 Kokkos::parallel_for Kokkos::View::initialization [recvbuf2] [device=0]
  0.0         1.56         1.56     6.34375           0        247 Kokkos::parallel_for Kokkos::View::initialization [recvbuf0] [device=0]
  0.0         1.51         1.51     5.59375           0        270 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same1] [device=0]
  0.0         1.43         1.43     4.53125           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf3] [device=0]
  0.0         1.29         1.29     4.96875           0        259 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same2] [device=0]
  0.0         1.23         1.23     3.90625           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf4] [device=0]
  0.0         1.11         1.11     4.46875           0        248 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same3] [device=0]
  0.0         1.10         1.10     3.46875           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf5] [device=0]
  0.0         1.03         1.03           9           0        115 CalculateLoadBalance
  0.0        0.918        0.918      2.9375           0        313 Kokkos::parallel_for Kokkos::View::initialization [recvbuf6] [device=0]
  0.0        0.898        0.898      3.8125           0        236 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same4] [device=0]
  0.0        0.816        0.816      2.6875           0        304 Kokkos::parallel_for Kokkos::View::initialization [recvbuf7] [device=0]
  0.0        0.785        0.785     3.34375           0        235 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same5] [device=0]
  0.0        0.717        0.717     0.03125     0.03125      22952 MPI_File_read()
  0.0        0.712        0.712       2.375           0        300 Kokkos::parallel_for Kokkos::View::initialization [recvbuf8] [device=0]
  0.0        0.662        0.662      2.5625           0        258 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same7] [device=0]
  0.0        0.654        0.654      2.8125           0        233 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same6] [device=0]
  0.0        0.565        0.565        2.25           0        251 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same8] [device=0]
  0.0        0.507        0.507           1           0        507 MPI_File_close()
  0.0        0.450        0.450      1.5625           0        288 Kokkos::parallel_for Kokkos::View::initialization [recvbuf9] [device=0]
  0.0        0.394        0.394          21           0         19 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::packs_mirror] [device=0]
  0.0        0.379        0.379        1.25           0        303 Kokkos::parallel_for Kokkos::View::initialization [recvbuf10] [device=0]
  0.0        0.370        0.370      1.1875           0        311 Kokkos::parallel_for Kokkos::View::initialization [recvbuf11] [device=0]
  0.0        0.353        0.353       1.125           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf12] [device=0]
  0.0        0.352        0.352      1.4375           0        245 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same9] [device=0]
  0.0        0.346        0.346          21           0         16 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::coords_mirror] [device=0]
  0.0        0.329        0.329      1.0625           0        309 Kokkos::parallel_for Kokkos::View::initialization [recvbuf13] [device=0]
  0.0        0.306        0.306     1.28125           0        239 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same10] [device=0]
  0.0        0.285        0.285          21           0         14 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::coords_mirror] [device=0]
  0.0        0.275        0.275      0.9375           0        294 Kokkos::parallel_for Kokkos::View::initialization [recvbuf14] [device=0]
  0.0        0.267        0.267     0.90625           0        294 Kokkos::parallel_for Kokkos::View::initialization [recvbuf15] [device=0]
  0.0        0.260        0.260     1.21875           0        213 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same11] [device=0]
  0.0        0.247        0.247       0.875           0        282 Kokkos::parallel_for Kokkos::View::initialization [recvbuf16] [device=0]
  0.0        0.246        0.246     0.84375           0        292 Kokkos::parallel_for Kokkos::View::initialization [recvbuf17] [device=0]
  0.0        0.241        0.241     1.15625           0        209 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same12] [device=0]
  0.0        0.241        0.241      0.8125           0        296 Kokkos::parallel_for Kokkos::View::initialization [recvbuf18] [device=0]
  0.0        0.239        0.239     0.78125           0        306 Kokkos::parallel_for Kokkos::View::initialization [recvbuf19] [device=0]
  0.0        0.232        0.232        0.75           0        309 Kokkos::parallel_for Kokkos::View::initialization [recvbuf26] [device=0]
  0.0        0.232        0.232        0.75           0        309 Kokkos::parallel_for Kokkos::View::initialization [recvbuf27] [device=0]
  0.0        0.229        0.229        0.75           0        305 Kokkos::parallel_for Kokkos::View::initialization [recvbuf45] [device=0]
  0.0        0.228        0.228        0.75           0        304 Kokkos::parallel_for Kokkos::View::initialization [recvbuf22] [device=0]
  0.0        0.227        0.227        0.75           0        303 Kokkos::parallel_for Kokkos::View::initialization [recvbuf29] [device=0]
  0.0        0.227        0.227        0.75           0        302 Kokkos::parallel_for Kokkos::View::initialization [recvbuf21] [device=0]
  0.0        0.225        0.225        0.75           0        300 Kokkos::parallel_for Kokkos::View::initialization [recvbuf41] [device=0]
